Description,Amount,Group Name,Round,Region,Group Type,Project_Type
 St Michael's Parish Church of Scotland in Linlithgow has been awarded a grant to run the EMPOWERING St Michael's and Linlithgow project which will replace inefficient lighting in the church with modern LED lighting technology. This will substantially reduce electricity consumption and carbon emissions and serve as a catalyst to encourage all users and visitors to St Michael's to take similar action at home. ,"73,300",St Michael's Parish Church of Scotland ,15,,Church,Refurbishment
"St Ninian's Craigmailen Parish Church, Linlithgow will install energy efficient measures including insulation and cladding as part of its Greening Longcroft Community Halls project. This will reduce energy use, bills and carbon emissions, helping to tackle climate change as well as making the building more comfortable for all users. The project will also promote energy efficient behaviour and lower carbon travel amongst church members and hall users leading to a more sustainable future for the church and community. ","42,160",St Ninian's Craigmailen Parish Church,17,,Church,
"St Oswald's Church will install insulation and secondary glazing at their premises in the south side of Glasgow as part of their Kings Park Climate Action project. The reduction of energy use, bills and carbon emissions will help save money and combat climate change. The project will also work with the local community to improve energy efficiency and provide community growing space by converting an area of derelict land into allotments. ","76,197",St Oswald's Church,16,,Church,Refurbishment / Food growing
"St. Ninians Old Parish Church Hall has been refurbished to reduce its carbon footprint, through insulating its external walls, installing secondary glazing and ceiling insulation, fitting energy efficient lighting and reducing draughts in this 19th century listed building. This will enable a renewable heating system (based on air-source heat pumps) to be installed, and a planned display area will highlight the importance of energy saving improvements in existing buildings in reducing climate change. ","144,809",St. Ninians Old Parish Church Hall,7,,Church,Refurbishment
" Stenhouse St. Aidan's Parish Church - Edgar Church Hall in Edinburgh will be refurbished with secondary glazing on all windows. This will provide a modern, multi-purpose space suitable for a wide variety of community uses. The new space will be easier to keep warm, reducing the congregation's carbon footprint. Users of the building will be issued with guidance on energy use which will promote energy efficient behaviour. ","40,000",Stenhouse St. Aidan's Parish Church,12,,Church,Refurbishment
" The Church of Pentecost will install energy efficient lighting and insulation at their church hall in Mount Florida, Glasgow to decrease energy use, bills and their carbon footprint. They will also increase awareness of climate change issues and promote energy efficient behaviour amongst building users and the local community. This will take the form of awareness raising events and local energy advisors. ","197,237",The Church of Pentecost,12,,Church,Refurbishment
" The Gate Christian Fellowship's Gate Church Carbon Saving project in Dundee aims to promote behaviour changes towards low carbon lifestyles, increase the uptake of low carbon transport and install energy efficiency measures in two buildings in the West End of Dundee; Grade A listed St Marks Church on Perth Road and the community centre on Greenfield Place. ","198,016",The Gate Christian Fellowship's,15,,Church,Refurbishment
"The Leamy Foundation's Carbon Sprouts project will establish a community growing space at St Mungo's Episcopal Church in Alexandria, West Dunbartonshire.  Additional carbon cutting activities include workshops to help the local community reduce food waste and to promote local and seasonal food. ","63,649",The Leamy Foundation's,21,,Church,
"The St Bryce Kirk Centre in Kirkcaldy will upgrade lighting, insulation and draught-proofing to slash the Centre's energy consumption and carbon emissions through the Action On Energy project.  The project will also offer a series of activities including household energy audits and fuel efficient driver training to help the local community reduce their own energy consumption and carbon emissions. ","57,740",The St Bryce Kirk Centre,21,,Church,
"Tron St Mary's Parish Church's project will reduce local carbon emissions through increased local produce grown at sites within local schools and community areas across Barmulloch and Balornock.  The project will also raise awareness of the advantages of home growing, recycling and composting.  ","47,990",Tron St Mary's Parish Church's,22,Glasgow City,Church,
"Tron St Mary’s Parish Church's Red Road Climate Challenge project will look to help local people take positive initiatives to tackle climate change and improve their quality of life during a period when the demolition of the Red Road flats results in a poor quality environment. Placemaking workshops will involve local people in producing an action plan, develop community growing, while making the church hall an energy efficient community hub, and helping local people to reduce their fuel bills. ","203,756",Tron St Mary’s Parish Church's,16,,Church,Unique!
 Urray and Kilchrist Church of Scotland in the Highlands aims to reduce its CO2 emissions through modern insulation techniques and energy efficient systems at their Community Hall. This will transform the hall into a safe and comfortable environment for the whole community and cut fuel bills. The church is active through the eco-congregation scheme through which it will continue to engage with the local community in raising awareness of its carbon footprint. ,"30,660",Urray and Kilchrist Church of Scotland,11,,Church,Refurbishment
"Wallacewell New Charge Church of Scotland's Oasis At Wallacewell project in Glasgow will feature nine raised beds for community growing and a composting facility.  Workshops will help community members to grow at home and reduce food waste going to landfill.  The project will further reduce local carbon emissions by improving the energy efficiency of the Wallacewell community building via installation of roof insulation, double glazed windows, LED lighting and zoned heating controls.  A home energy efficiency advice scheme will enable the local community to reduce their own energy use, bills, fuel poverty levels and carbon emissions. ","55,048",Wallacewell New Charge Church of Scotland's,19,,Church,
"Wardie Parish Church's Climate Champions project will improve the energy efficiency of Wardie Church Halls, north Edinburgh, reducing energy use, bills and carbon emissions while helping to combat climate change. Energy efficient measures installed will include new windows and doors, plus insulation. The project will also work with the local community to help them reduce their carbon emissions through sustainable travel to the Halls, local food growing and adoption of energy efficient behaviour in their homes. ","52,634",Wardie Parish Church's,17,,Church,
 Wick St. Fergus Church of Scotland's heating and lighting project involves the provision of first time insulation in the roof space of the church to minimise heat loss. The replacement of filament light bulbs with energy efficient bulbs to reduce electricity consumption will also help to reduce the carbon footprint of the church. ,"15,000",Wick St. Fergus Church of Scotland's ,10,,Church,Refurbishment
"Colston Milton Parish Church, Glasgow - Colston Milton Community Development Project, conducting a feasibility study on building and maintaining ecologically and economically sustainable buildings for the benefit of the people of Milton - ","42,809",,1,,Church,Feasibilty study
"Church of the Sacred Heart, Edinburgh - Lauriston Halls Refurbishment: the 100-year-old Lauriston Hall in Edinburgh's West Port is a large city centre community space. Funding to help to introduce natural light and provide insulation to the ceiling, wall and floor, to reduce by up to 80 per cent the carbon emissions of this elegant building. - ","136,666",,4,,Church,Refurbishment
"Ascend Scotland Ltd, Glasgow - CERCH (Carbon Emission Reduction in Community Halls), to support, encourage and enable local community and church halls and centres across the south-west of Glasgow to improve their energy efficiency, reduce their carbon emissions, and subsequently reduce energy costs. The resultant improvement in the comfort of the halls and cheaper running costs will encourage use by local groups and residents, which will in turn reinvigorate community ownership and interest in the halls. - ","62,890",,5,,Church,Refurbishment
"Scottish Episcopal Church - St Ninian's Heating Project, Alyth, Perthshire, for reduction in carbon emissions by the congregation of St Ninian's as part of the community, changing to gas central heating, as recommended by the Energy Saving Trust, the grant being for the radiators and pipe insulation, as well as an awareness raising weekend to encourage the community to reduce their individual carbon footprints. - ","1,590",,5,,Church,Refurbishment
"Church of St John Evangelist (St John's), Edinburgh - Earth Be Glad. Earth be Glad is a web tool to enable the whole community of St John's Church, Princes Street, to measure and reduce its carbon emissions collectively, with the help of resources already provided by other organisations. Other faith communities will be able to use the programme to monitor progress towards a target reduction in carbon emissions of 5 per cent per year. - ","32,900",,6,,Church,Carbon Monitoring (web)
,"£99,005",,,,,
